minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,PrimaryLast,vismin,female,single_credit,upper_division,English_speaker,tenured_prof
no,33,female,more,0.7244775295257568,4.400000095367432,upper,yes,yes,10,15,51,0,0,1,0,1,1,1
no,33,female,more,0.7244775295257568,4.800000190734863,upper,yes,yes,10,10,51,0,0,1,0,1,1,1
no,33,female,more,0.7244775295257568,4.800000190734863,upper,yes,yes,10,11,51,0,0,1,0,1,1,1
no,33,female,more,0.7244775295257568,4.400000095367432,upper,yes,yes,10,14,51,0,0,1,0,1,1,1
no,33,female,more,0.7244775295257568,4.699999809265137,upper,yes,yes,7,11,51,0,0,1,0,1,1,1
no,33,female,more,0.7244775295257568,4.5,upper,yes,yes,14,14,51,1,0,1,0,1,1,1
no,57,male,more,0.6318343281745911,4.199999809265137,upper,yes,yes,69,77,52,0,0,0,0,1,1,1
no,57,male,more,0.6318343281745911,4.199999809265137,upper,yes,yes,36,41,52,0,0,0,0,1,1,1
no,57,male,more,0.6318343281745911,4.400000095367432,upper,yes,yes,72,88,52,0,0,0,0,1,1,1
no,57,male,more,0.6318343281745911,4.099999904632568,upper,yes,yes,63,78,52,1,0,0,0,1,1,1
no,38,female,more,1.0709439516067505,4.5,upper,yes,yes,46,65,53,0,0,1,0,1,1,1
no,38,female,more,1.0709439516067505,4.199999809265137,lower,yes,yes,109,157,53,0,0,1,0,0,1,1
no,38,female,more,1.0709439516067505,4.800000190734863,upper,yes,yes,54,68,53,0,0,1,0,1,1,1
no,38,female,more,1.0709439516067505,4.400000095367432,upper,yes,yes,51,67,53,0,0,1,0,1,1,1
no,38,female,more,1.0709439516067505,4.699999809265137,upper,yes,yes,61,80,53,0,0,1,0,1,1,1
no,38,female,more,1.0709439516067505,4.199999809265137,lower,yes,yes,102,137,53,0,0,1,0,0,1,1
no,38,female,more,1.0709439516067505,4.5,upper,yes,yes,58,69,53,1,0,1,0,1,1,1
no,34,female,more,-1.4504940509796143,3.799999952316284,lower,yes,yes,54,91,54,0,0,1,0,0,1,1
no,34,female,more,-1.4504940509796143,3.4000000953674316,lower,yes,yes,46,80,54,0,0,1,0,0,1,1
no,34,female,more,-1.4504940509796143,3.700000047683716,lower,yes,yes,53,90,54,0,0,1,0,0,1,1
no,34,female,more,-1.4504940509796143,3.5999999046325684,upper,yes,yes,19,34,54,0,0,1,0,1,1,1
no,34,female,more,-1.4504940509796143,3.9000000953674316,upper,yes,yes,41,73,54,0,0,1,0,1,1,1
no,34,female,more,-1.4504940509796143,3.9000000953674316,upper,yes,yes,25,44,54,1,0,1,0,1,1,1
no,34,male,more,1.1558799743652344,3.0999999046325684,upper,yes,yes,24,36,55,0,0,0,0,1,1,1
no,34,male,more,1.1558799743652344,3.700000047683716,upper,yes,yes,16,20,55,0,0,0,0,1,1,1
no,34,male,more,1.1558799743652344,3,lower,yes,yes,20,35,55,1,0,0,0,0,1,1
no,32,male,more,-0.32601478695869446,3.700000047683716,lower,yes,yes,85,248,56,0,0,0,0,0,1,1
no,32,male,more,-0.32601478695869446,3.5999999046325684,lower,yes,yes,69,168,56,0,0,0,0,0,1,1
no,32,male,more,-0.32601478695869446,3.5999999046325684,lower,yes,yes,98,247,56,0,0,0,0,0,1,1
no,32,male,more,-0.32601478695869446,4.300000190734863,upper,yes,yes,20,22,56,0,0,0,0,1,1,1
no,32,male,more,-0.32601478695869446,4.5,upper,yes,yes,72,103,56,1,0,0,0,1,1,1
no,42,female,more,0.8846434950828552,3.9000000953674316,lower,yes,yes,44,62,57,0,0,1,0,0,1,1
no,42,female,more,0.8846434950828552,3.9000000953674316,upper,yes,yes,51,82,57,1,0,1,0,1,1,1
no,43,female,more,-0.5583451986312866,4,lower,yes,yes,35,51,58,0,0,1,0,0,1,1
no,43,female,more,-0.5583451986312866,4.599999904632568,upper,yes,yes,18,35,58,0,0,1,0,1,1,1
no,43,female,more,-0.5583451986312866,4.099999904632568,lower,yes,yes,26,34,58,0,0,1,0,0,1,1
no,43,female,more,-0.5583451986312866,4.199999809265137,lower,yes,yes,28,37,58,0,0,1,0,0,1,1
no,43,female,more,-0.5583451986312866,4.099999904632568,lower,yes,yes,13,14,58,0,0,1,0,0,1,1
no,43,female,more,-0.5583451986312866,3.0999999046325684,lower,yes,yes,174,266,58,0,0,1,0,0,1,1
no,43,female,more,-0.5583451986312866,3.5999999046325684,lower,yes,yes,171,254,58,0,0,1,0,0,1,1
no,43,female,more,-0.5583451986312866,4.199999809265137,upper,yes,yes,10,13,58,0,0,1,0,1,1,1
no,43,female,more,-0.5583451986312866,3,lower,yes,yes,166,282,58,0,0,1,0,0,1,1
no,43,female,more,-0.5583451986312866,4.199999809265137,upper,yes,yes,17,17,58,1,0,1,0,1,1,1
no,35,male,more,-0.34155431389808655,3.299999952316284,upper,no,yes,11,19,59,0,0,0,0,1,0,1
no,35,male,more,-0.34155431389808655,3.4000000953674316,lower,no,yes,22,42,59,1,0,0,0,0,0,1
no,62,female,more,-0.5040575265884399,3.0999999046325684,upper,yes,yes,22,27,60,0,0,1,0,1,1,1
no,62,female,more,-0.5040575265884399,3.0999999046325684,upper,yes,yes,9,16,60,0,0,1,0,1,1,1
no,62,female,more,-0.5040575265884399,2.700000047683716,upper,yes,yes,14,19,60,1,0,1,0,1,1,1
no,52,female,more,0.7735239863395691,3.700000047683716,upper,yes,yes,64,88,63,0,0,1,0,1,1,1
no,52,female,more,0.7735239863395691,3.9000000953674316,upper,yes,yes,70,98,63,1,0,1,0,1,1,1
no,52,female,more,1.063938021659851,3.4000000953674316,upper,yes,yes,31,44,64,0,0,1,0,1,1,1
no,52,female,more,1.063938021659851,3.9000000953674316,upper,yes,yes,49,65,64,0,0,1,0,1,1,1
no,52,female,more,1.063938021659851,3.5999999046325684,upper,yes,yes,32,63,64,1,0,1,0,1,1,1
no,52,female,more,-1.0903890132904053,4.300000190734863,upper,yes,no,59,75,65,0,0,1,0,1,1,0
no,52,female,more,-1.0903890132904053,3.700000047683716,upper,yes,no,35,43,65,0,0,1,0,1,1,0
no,52,female,more,-1.0903890132904053,3.5999999046325684,upper,yes,no,59,80,65,0,0,1,0,1,1,0
no,52,female,more,-1.0903890132904053,4.400000095367432,upper,yes,no,45,52,65,0,0,1,0,1,1,0
no,52,female,more,-1.0903890132904053,4.300000190734863,upper,yes,no,34,48,65,0,0,1,0,1,1,0
no,52,female,more,-1.0903890132904053,4.099999904632568,upper,yes,no,50,66,65,0,0,1,0,1,1,0
no,52,female,more,-1.0903890132904053,3.700000047683716,upper,yes,no,67,100,65,1,0,1,0,1,1,0
no,64,male,more,-1.0691620111465454,3.700000047683716,upper,yes,yes,9,11,66,0,0,0,0,1,1,1
no,64,male,more,-1.0691620111465454,3.5999999046325684,upper,yes,yes,8,16,66,0,0,0,0,1,1,1
no,64,male,more,-1.0691620111465454,2.799999952316284,upper,yes,yes,18,22,66,0,0,0,0,1,1,1
no,64,male,more,-1.0691620111465454,4,upper,yes,yes,5,11,66,0,0,0,0,1,1,1
no,64,male,more,-1.0691620111465454,4.400000095367432,upper,yes,yes,5,10,66,0,0,0,0,1,1,1
no,64,male,more,-1.0691620111465454,3.5999999046325684,upper,yes,yes,16,16,66,1,0,0,0,1,1,1
no,50,male,more,1.4156949520111084,4.199999809265137,upper,yes,yes,15,16,67,0,0,0,0,1,1,1
no,50,male,more,1.4156949520111084,3.700000047683716,upper,yes,yes,9,10,67,1,0,0,0,1,1,1
no,60,male,more,-1.4229190349578857,2.200000047683716,upper,yes,yes,23,32,68,0,0,0,0,1,1,1
no,60,male,more,-1.4229190349578857,2.9000000953674316,upper,yes,yes,7,10,68,0,0,0,0,1,1,1
no,60,male,more,-1.4229190349578857,2.5999999046325684,upper,yes,yes,10,16,68,1,0,0,0,1,1,1
no,43,male,more,-0.4899626076221466,4.300000190734863,lower,yes,yes,19,22,70,0,0,0,0,0,1,1
no,43,male,single,-0.4899626076221466,4.800000190734863,lower,yes,yes,15,28,70,0,0,0,1,0,1,1
no,43,male,single,-0.4899626076221466,4.900000095367432,lower,yes,yes,18,30,70,0,0,0,1,0,1,1
no,43,male,more,-0.4899626076221466,4.300000190734863,lower,yes,yes,11,15,70,0,0,0,0,0,1,1
no,43,male,more,-0.4899626076221466,4.400000095367432,lower,yes,yes,10,13,70,0,0,0,0,0,1,1
no,43,male,single,-0.4899626076221466,4.300000190734863,lower,yes,yes,17,18,70,0,0,0,1,0,1,1
no,43,male,single,-0.4899626076221466,4.699999809265137,lower,yes,yes,22,26,70,0,0,0,1,0,1,1
no,43,male,single,-0.4899626076221466,4.300000190734863,lower,yes,yes,18,30,70,0,0,0,1,0,1,1
no,43,male,more,-0.4899626076221466,4.599999904632568,lower,yes,yes,14,14,70,1,0,0,0,0,1,1
yes,50,male,single,-0.5835868716239929,4.599999904632568,lower,yes,no,17,24,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,4.900000095367432,lower,yes,no,20,22,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,4.800000190734863,lower,yes,no,21,25,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,4.699999809265137,lower,yes,no,23,26,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,4.800000190734863,lower,yes,no,19,22,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,4.900000095367432,lower,yes,no,20,26,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,4.800000190734863,lower,yes,no,17,20,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,4.800000190734863,lower,yes,no,18,22,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,5,lower,yes,no,20,21,71,0,1,0,1,0,1,0
yes,50,male,single,-0.5835868716239929,4.5,lower,yes,no,19,21,71,1,1,0,1,0,1,0
no,52,male,more,0.7566828727722168,3.5,upper,yes,yes,46,69,72,0,0,0,0,1,1,1
no,52,male,more,0.7566828727722168,3.799999952316284,upper,yes,yes,46,65,72,0,0,0,0,1,1,1
no,52,male,more,0.7566828727722168,3.799999952316284,upper,yes,yes,39,62,72,0,0,0,0,1,1,1
no,52,male,more,0.7566828727722168,3.799999952316284,upper,yes,yes,34,67,72,0,0,0,0,1,1,1
no,52,male,more,0.7566828727722168,4,upper,yes,yes,29,40,72,0,0,0,0,1,1,1
no,52,male,more,0.7566828727722168,4.199999809265137,upper,yes,yes,27,45,72,1,0,0,0,1,1,1
no,51,male,more,0.8808186054229736,4.599999904632568,lower,yes,yes,348,574,73,0,0,0,0,0,1,1
no,51,male,more,0.8808186054229736,4.5,lower,yes,yes,372,579,73,0,0,0,0,0,1,1
no,51,male,more,0.8808186054229736,4.5,lower,yes,yes,343,537,73,0,0,0,0,0,1,1
no,51,male,more,0.8808186054229736,4.599999904632568,lower,yes,yes,380,581,73,0,0,0,0,0,1,1
no,51,male,more,0.8808186054229736,4.699999809265137,lower,yes,yes,322,527,73,1,0,0,0,0,1,1
no,38,male,more,-0.5665013790130615,3.700000047683716,lower,yes,yes,44,87,74,0,0,0,0,0,1,1
no,38,male,more,-0.5665013790130615,4.099999904632568,lower,yes,yes,66,84,74,0,0,0,0,0,1,1
no,38,male,more,-0.5665013790130615,3.5999999046325684,lower,yes,yes,40,79,74,0,0,0,0,0,1,1
no,38,male,more,-0.5665013790130615,4,lower,yes,yes,60,92,74,1,0,0,0,0,1,1
no,47,female,more,0.3394036889076233,3.799999952316284,lower,yes,yes,19,24,75,0,0,1,0,0,1,1
no,47,female,more,0.3394036889076233,3.4000000953674316,lower,yes,yes,38,67,75,1,0,1,0,0,1,1
yes,43,female,more,-0.15136870741844177,3.5999999046325684,lower,yes,yes,47,103,76,0,1,1,0,0,1,1
yes,43,female,more,-0.15136870741844177,2.799999952316284,lower,yes,yes,93,190,76,1,1,1,0,0,1,1
no,38,female,more,-1.0249969959259033,4.400000095367432,lower,yes,no,33,68,77,0,0,1,0,0,1,0
no,38,female,more,-1.0249969959259033,4.099999904632568,lower,yes,no,36,60,77,0,0,1,0,0,1,0
no,38,female,more,-1.0249969959259033,3.5,lower,yes,no,29,64,77,0,0,1,0,0,1,0
no,38,female,more,-1.0249969959259033,3.4000000953674316,lower,yes,no,23,31,77,0,0,1,0,0,1,0
no,38,female,more,-1.0249969959259033,4.099999904632568,lower,yes,no,36,62,77,0,0,1,0,0,1,0
no,38,female,more,-1.0249969959259033,4.199999809265137,lower,yes,no,30,37,77,1,0,1,0,0,1,0
no,43,male,more,-0.025244399905204773,4.099999904632568,lower,yes,yes,10,13,78,0,0,0,0,0,1,1
no,43,male,more,-0.025244399905204773,4.300000190734863,lower,yes,yes,8,13,78,0,0,0,0,0,1,1
no,43,male,more,-0.025244399905204773,4.099999904632568,upper,yes,yes,12,15,78,0,0,0,0,1,1,1
no,43,male,more,-0.025244399905204773,3.4000000953674316,upper,yes,yes,65,79,78,1,0,0,0,1,1,1
no,57,male,more,-0.7467874884605408,4.300000190734863,upper,yes,yes,7,13,79,0,0,0,0,1,1,1
no,57,male,more,-0.7467874884605408,3.5,upper,yes,yes,53,98,79,0,0,0,0,1,1,1
no,57,male,more,-0.7467874884605408,3.5999999046325684,upper,yes,yes,58,97,79,1,0,0,0,1,1,1
no,51,female,more,0.9889485239982605,4,upper,yes,yes,9,11,80,0,0,1,0,1,1,1
no,51,female,more,0.9889485239982605,3.700000047683716,upper,yes,yes,67,78,80,0,0,1,0,1,1,1
no,51,female,more,0.9889485239982605,3,upper,yes,yes,36,56,80,0,0,1,0,1,1,1
no,51,female,more,0.9889485239982605,4.599999904632568,upper,yes,yes,17,20,80,1,0,1,0,1,1,1
no,45,male,single,-0.5324199199676514,4.800000190734863,lower,yes,no,12,17,81,0,0,0,1,0,1,0
no,45,male,single,-0.5324199199676514,4,lower,yes,no,17,20,81,0,0,0,1,0,1,0
no,45,male,more,-0.5324199199676514,4.800000190734863,lower,yes,no,13,19,81,0,0,0,0,0,1,0
no,45,male,single,-0.5324199199676514,4.599999904632568,lower,yes,no,19,26,81,1,0,0,1,0,1,0
no,57,male,more,-0.7668920755386353,3.5,lower,yes,yes,13,14,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,3.4000000953674316,lower,yes,yes,12,18,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,4.400000095367432,lower,yes,yes,12,12,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,3.5999999046325684,lower,yes,yes,16,19,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,3.799999952316284,lower,yes,yes,12,16,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,3.700000047683716,lower,yes,yes,14,16,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,4.699999809265137,lower,yes,yes,11,12,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,4.5,lower,yes,yes,15,17,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,5,upper,yes,yes,6,15,82,0,0,0,0,1,1,1
no,57,male,more,-0.7668920755386353,3.799999952316284,lower,yes,yes,15,16,82,0,0,0,0,0,1,1
no,57,male,more,-0.7668920755386353,4.099999904632568,lower,yes,yes,12,17,82,1,0,0,0,0,1,1
no,47,female,more,1.154255986213684,3.5999999046325684,lower,yes,no,16,21,83,0,0,1,0,0,1,0
no,47,female,single,1.154255986213684,4.300000190734863,lower,yes,no,15,17,83,0,0,1,1,0,1,0
no,47,female,single,1.154255986213684,4.400000095367432,lower,yes,no,10,10,83,0,0,1,1,0,1,0
no,47,female,single,1.154255986213684,4.699999809265137,lower,yes,no,16,17,83,0,0,1,1,0,1,0
no,47,female,more,1.154255986213684,3.9000000953674316,lower,yes,no,15,17,83,1,0,1,0,0,1,0
yes,54,female,more,1.2326020002365112,3.799999952316284,lower,yes,yes,18,18,84,0,1,1,0,0,1,1
yes,54,female,more,1.2326020002365112,4.800000190734863,lower,yes,yes,15,16,84,0,1,1,0,0,1,1
yes,54,female,more,1.2326020002365112,4.300000190734863,lower,yes,yes,21,26,84,0,1,1,0,0,1,1
yes,54,female,more,1.2326020002365112,4.599999904632568,lower,yes,yes,14,18,84,0,1,1,0,0,1,1
yes,54,female,more,1.2326020002365112,3.799999952316284,lower,yes,yes,16,20,84,1,1,1,0,0,1,1
no,58,male,more,1.7743339538574219,4.699999809265137,lower,yes,no,16,17,85,0,0,0,0,0,1,0
no,58,male,more,1.7743339538574219,5,lower,yes,no,21,21,85,0,0,0,0,0,1,0
no,58,male,more,1.7743339538574219,4.900000095367432,lower,yes,no,18,21,85,0,0,0,0,0,1,0
no,58,male,more,1.7743339538574219,4.599999904632568,lower,yes,no,17,20,85,0,0,0,0,0,1,0
no,58,male,more,1.7743339538574219,4.599999904632568,lower,yes,no,19,20,85,0,0,0,0,0,1,0
no,58,male,more,1.7743339538574219,5,lower,yes,no,11,13,85,0,0,0,0,0,1,0
no,58,male,more,1.7743339538574219,4.599999904632568,lower,yes,no,14,16,85,0,0,0,0,0,1,0
no,58,male,more,1.7743339538574219,4.900000095367432,lower,yes,no,16,17,85,1,0,0,0,0,1,0
no,42,male,more,1.7731510400772095,4.900000095367432,lower,yes,yes,15,18,86,0,0,0,0,0,1,1
no,42,male,more,1.7731510400772095,4,lower,yes,yes,22,24,86,0,0,0,0,0,1,1
no,42,male,more,1.7731510400772095,3.9000000953674316,upper,yes,yes,17,20,86,1,0,0,0,1,1,1
no,33,male,more,0.7245926260948181,4.300000190734863,lower,yes,yes,85,120,87,0,0,0,0,0,1,1
no,33,male,more,0.7245926260948181,4.099999904632568,lower,yes,yes,67,155,87,1,0,0,0,0,1,1
no,62,male,more,-1.1816259622573853,3.299999952316284,lower,yes,yes,11,38,88,0,0,0,0,0,1,1
no,62,male,more,-1.1816259622573853,2.9000000953674316,lower,yes,yes,28,70,88,0,0,0,0,0,1,1
no,62,male,more,-1.1816259622573853,2.799999952316284,lower,yes,yes,61,149,88,0,0,0,0,0,1,1
no,62,male,more,-1.1816259622573853,2.799999952316284,lower,yes,yes,49,137,88,0,0,0,0,0,1,1
no,62,male,more,-1.1816259622573853,4,upper,yes,yes,13,29,88,0,0,0,0,1,1,1
no,62,male,more,-1.1816259622573853,3.299999952316284,lower,yes,yes,28,55,88,0,0,0,0,0,1,1
no,62,male,more,-1.1816259622573853,3,lower,yes,yes,67,136,88,1,0,0,0,0,1,1
yes,35,female,more,1.7694519758224487,3.4000000953674316,lower,yes,yes,60,96,89,0,1,1,0,0,1,1
yes,35,female,more,1.7694519758224487,3.5999999046325684,lower,yes,yes,20,60,89,0,1,1,0,0,1,1
yes,35,female,more,1.7694519758224487,3.799999952316284,lower,yes,yes,43,108,89,1,1,1,0,0,1,1
no,61,male,more,-0.5872611999511719,3.5999999046325684,lower,yes,yes,27,39,90,0,0,0,0,0,1,1
no,61,male,more,-0.5872611999511719,3.9000000953674316,lower,yes,yes,13,15,90,1,0,0,0,0,1,1
no,52,female,more,-0.001832399982959032,4,lower,yes,yes,61,111,91,0,0,1,0,0,1,1
no,52,female,more,-0.001832399982959032,4.699999809265137,lower,yes,yes,14,17,91,0,0,1,0,0,1,1
no,52,female,more,-0.001832399982959032,4.699999809265137,lower,yes,yes,19,19,91,1,0,1,0,0,1,1
no,60,female,more,-0.05667660012841225,3.9000000953674316,upper,no,yes,23,27,92,0,0,1,0,1,0,1
no,60,female,more,-0.05667660012841225,3.9000000953674316,upper,no,yes,18,19,92,0,0,1,0,1,0,1
no,60,female,more,-0.05667660012841225,4.400000095367432,upper,no,yes,11,13,92,0,0,1,0,1,0,1
no,60,female,more,-0.05667660012841225,3.5999999046325684,upper,no,yes,18,19,92,0,0,1,0,1,0,1
no,60,female,more,-0.05667660012841225,4.199999809265137,upper,no,yes,11,22,92,0,0,1,0,1,0,1
no,60,female,more,-0.05667660012841225,3.4000000953674316,upper,no,yes,7,20,92,0,0,1,0,1,0,1
no,60,female,more,-0.05667660012841225,4,upper,no,yes,24,27,92,1,0,1,0,1,0,1
no,32,male,more,1.2313940525054932,4.300000190734863,lower,yes,yes,98,132,93,0,0,0,0,0,1,1
no,32,male,more,1.2313940525054932,4.199999809265137,lower,yes,yes,111,127,93,0,0,0,0,0,1,1
no,32,male,more,1.2313940525054932,4.400000095367432,upper,yes,yes,62,85,93,0,0,0,0,1,1,1
no,32,male,more,1.2313940525054932,4.5,lower,yes,yes,76,101,93,0,0,0,0,0,1,1
no,32,male,more,1.2313940525054932,3.200000047683716,lower,yes,yes,9,21,93,0,0,0,0,0,1,1
no,32,male,more,1.2313940525054932,4.300000190734863,upper,yes,yes,52,86,93,1,0,0,0,1,1,1
yes,42,female,more,0.42039981484413147,3.299999952316284,upper,no,yes,48,84,94,0,1,1,0,1,0,1
yes,42,female,more,0.42039981484413147,3.299999952316284,upper,no,yes,52,67,94,0,1,1,0,1,0,1
yes,42,female,more,0.42039981484413147,3.200000047683716,upper,no,yes,54,66,94,0,1,1,0,1,0,1
yes,42,female,single,0.42039981484413147,4.099999904632568,lower,no,yes,28,35,94,1,1,1,1,0,0,1
yes,29,female,more,-0.8487269282341003,3.299999952316284,upper,no,yes,19,26,22,1,1,1,0,1,0,1
no,41,female,more,0.40816760063171387,2.299999952316284,upper,yes,yes,10,12,30,1,0,1,0,1,1,1
no,37,male,more,0.9333959221839905,3.5,upper,yes,yes,15,17,40,1,0,0,0,1,1,1
no,58,female,more,0.11156349629163742,3.5,upper,yes,yes,26,34,47,1,0,1,0,1,1,1
no,42,male,more,-0.9005804061889648,4,upper,yes,yes,45,86,61,1,0,0,0,1,1,1
no,39,male,more,0.6430141925811768,4.300000190734863,upper,yes,yes,22,29,62,1,0,0,0,1,1,1
no,51,female,more,0.3918221890926361,3,upper,yes,yes,47,67,69,1,0,1,0,1,1,1
