,minority,age,gender,credits,beauty,eval,students,allstudents
450,no,32,male,more,1.2313940525054932,3.2000000476837163,9,21
451,no,32,male,more,1.2313940525054932,4.300000190734863,52,86
452,yes,42,female,more,0.42039981484413147,3.2999999523162837,48,84
453,yes,42,female,more,0.42039981484413147,3.2999999523162837,52,67
454,yes,42,female,more,0.42039981484413147,3.2000000476837163,54,66
455,yes,42,female,single,0.42039981484413147,4.099999904632568,28,35
456,yes,29,female,more,-0.8487269282341003,3.2999999523162837,19,26
457,no,41,female,more,0.40816760063171387,2.299999952316284,10,12
458,no,37,male,more,0.9333959221839904,3.5,15,17
459,no,58,female,more,0.11156349629163742,3.5,26,34
460,no,42,male,more,-0.9005804061889648,4.0,45,86
461,no,39,male,more,0.6430141925811768,4.300000190734863,22,29
462,no,51,female,more,0.3918221890926361,3.0,47,67
